chain,final_score,acquisition_score,adaptation_score,flexibility_score,transfer_score,perseveration_penalty,pre_curve_exact,post_curve_exact,pre_probe_score,post_probe_score,pre_probe_soft_score,post_probe_soft_score,schema_success_rate,pre_query_score_1,pre_query_score_2,pre_query_score_3,pre_query_score_4,pre_query_score_5,post_query_score_1,post_query_score_2,post_query_score_3,post_query_score_4,post_query_score_5,pre_query_soft_score_1,pre_query_soft_score_2,pre_query_soft_score_3,pre_query_soft_score_4,pre_query_soft_score_5,post_query_soft_score_1,post_query_soft_score_2,post_query_soft_score_3,post_query_soft_score_4,post_query_soft_score_5
permutation_reverse -> reindexing_rotate_k_-1,0.1417,0.1667,0.5833,0.25,0.0,0.3333,0.1667,0.5833,0.0,0.0,0.0,0.0,1.0,0.3333,0.0,0.0,0.3333,0.3333,0.6667,0.3333,0.6667,0.6667,0.6667,0.3333,0.0,0.0,0.3333,0.3333,0.6667,0.3333,0.6667,0.6667,0.6667
reindexing_rotate_k_-1,0.3167,0.2917,0.3333,0.3333,0.3333,0.0,0.2917,0.3333,0.0,0.3333,0.0,0.3333,1.0,0.0,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.0,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333
reindexing_rotate_k_-1 -> iteration_duplicate,0.35,0.5,0.0,0.0,0.5,0.0,0.5,0.0,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0
reindexing_rotate_k_-1 -> partitioning_by_offset_offset_0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
reindexing_rotate_k_-1 -> partitioning_by_offset_offset_1,0.45,0.0,0.5,0.5,1.0,0.0,0.0,0.5,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
reindexing_rotate_k_-1 -> permutation_reverse,0.2,0.5,1.0,0.0,0.0,1.0,0.5,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
reindexing_rotate_k_1,0.4625,0.4062,0.5,0.25,0.75,0.25,0.4062,0.5,0.0,0.75,0.0,0.75,1.0,0.25,0.25,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.25,0.25,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
reindexing_rotate_k_1 -> extension_append_boundary_side_last,0.425,0.125,0.5,0.5,0.75,0.0,0.125,0.5,0.0,0.75,0.0,0.75,1.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.5,0.5,0.5
reindexing_rotate_k_1 -> iteration_duplicate,0.7125,0.375,0.875,0.875,1.0,0.0,0.375,0.875,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
reindexing_rotate_k_1 -> partitioning_by_offset_offset_0,0.075,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.75,0.25,0.75,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reindexing_rotate_k_1 -> partitioning_by_offset_offset_1,0.1937,0.25,0.3125,0.3125,0.0,0.0,0.25,0.3125,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.5,0.5,0.0,0.5,0.0,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.5,0.0,0.5,0.5
reindexing_rotate_k_1 -> permutation_reverse,0.3125,0.3125,0.375,0.375,0.25,0.0,0.3125,0.375,0.0,0.25,0.0,0.25,1.0,0.25,0.25,0.25,0.5,0.25,0.25,0.5,0.5,0.25,0.25,0.25,0.25,0.25,0.5,0.25,0.25,0.5,0.5,0.25,0.25
